"Source";"Target";"Relation"
1;9;"Negative"
1;12;"Negative"
1;13;"Positive"
1;14;"Negative"
1;15;"Positive"
1;16;"Positive"
2;9;"Positive"
2;10;"Positive"
2;12;"Positive"
2;13;"Negative"
2;14;"Negative"
2;15;"Negative"
3;1;"Positive"
3;5;"Positive"
3;10;"Negative"
3;11;"Positive"
3;12;"Negative"
3;14;"Negative"
4;9;"Negative"
4;10;"Negative"
4;11;"Positive"
4;13;"Negative"
4;14;"Positive"
4;16;"Positive"
5;1;"Positive"
5;2;"Negative"
5;9;"Negative"
5;13;"Negative"
5;15;"Positive"
5;16;"Positive"
6;7;"Positive"
6;7;"Negative"
6;8;"Positive"
6;10;"Negative"
6;11;"Positive"
6;12;"Negative"
6;13;"Negative"
6;15;"Positive"
6;17;"Negative"
6;18;"Negative"
6;19;"Positive"
6;21;"Positive"
7;6;"Positive"
7;10;"Negative"
7;13;"Positive"
7;15;"Negative"
7;17;"Negative"
7;19;"Positive"
7;20;"Negative"
7;21;"Positive"
7;22;"Positive"
7;24;"Negative"
8;6;"Positive"
8;7;"Positive"
8;7;"Negative"
8;10;"Negative"
8;12;"Negative"
8;15;"Negative"
8;16;"Negative"
8;20;"Positive"
8;23;"Negative"
8;24;"Positive"
8;25;"Positive"
9;2;"Negative"
9;4;"Positive"
9;11;"Positive"
9;13;"Positive"
9;14;"Negative"
9;15;"Negative"
10;1;"Positive"
10;5;"Positive"
10;6;"Negative"
10;7;"Negative"
10;8;"Negative"
10;11;"Positive"
10;12;"Positive"
10;12;"Negative"
10;13;"Negative"
10;14;"Negative"
10;15;"Negative"
10;16;"Negative"
10;17;"Positive"
10;18;"Positive"
10;19;"Negative"
10;21;"Negative"
10;25;"Negative"
11;5;"Positive"
11;6;"Positive"
11;10;"Positive"
11;12;"Negative"
11;13;"Negative"
11;16;"Positive"
11;17;"Negative"
11;18;"Positive"
11;19;"Negative"
11;20;"Positive"
12;2;"Positive"
12;4;"Positive"
12;6;"Positive"
12;7;"Negative"
12;8;"Negative"
12;10;"Positive"
12;11;"Positive"
12;13;"Negative"
12;14;"Negative"
12;15;"Negative"
12;16;"Positive"
12;16;"Negative"
12;17;"Negative"
12;18;"Positive"
12;19;"Negative"
12;24;"Negative"
13;1;"Positive"
13;2;"Negative"
13;5;"Positive"
13;6;"Positive"
13;7;"Positive"
13;9;"Positive"
13;10;"Negative"
13;11;"Negative"
13;12;"Negative"
13;15;"Positive"
13;15;"Negative"
13;19;"Positive"
13;23;"Positive"
14;1;"Positive"
14;5;"Positive"
14;9;"Negative"
14;11;"Positive"
14;12;"Negative"
14;13;"Negative"
15;1;"Positive"
15;2;"Negative"
15;5;"Positive"
15;6;"Positive"
15;6;"Negative"
15;7;"Positive"
15;7;"Negative"
15;8;"Negative"
15;9;"Positive"
15;10;"Positive"
15;10;"Negative"
15;12;"Positive"
15;13;"Negative"
15;16;"Positive"
15;17;"Positive"
15;21;"Negative"
15;24;"Negative"
16;2;"Negative"
16;3;"Positive"
16;8;"Negative"
16;10;"Positive"
16;11;"Positive"
16;11;"Negative"
16;12;"Negative"
16;13;"Negative"
16;14;"Positive"
16;15;"Positive"
16;17;"Negative"
16;18;"Positive"
16;19;"Positive"
16;23;"Positive"
16;24;"Negative"
16;25;"Negative"
17;10;"Positive"
17;11;"Positive"
17;12;"Negative"
17;15;"Positive"
17;16;"Positive"
17;16;"Negative"
17;18;"Negative"
17;19;"Positive"
17;20;"Positive"
17;21;"Positive"
18;6;"Negative"
18;7;"Negative"
18;8;"Negative"
18;10;"Positive"
18;10;"Negative"
18;11;"Positive"
18;12;"Positive"
18;15;"Positive"
18;16;"Positive"
18;17;"Negative"
18;19;"Negative"
18;20;"Negative"
18;21;"Positive"
18;23;"Positive"
18;24;"Negative"
19;6;"Positive"
19;7;"Positive"
19;8;"Negative"
19;10;"Negative"
19;11;"Positive"
19;12;"Negative"
19;13;"Positive"
19;16;"Positive"
19;17;"Positive"
19;18;"Negative"
19;21;"Positive"
19;24;"Negative"
20;7;"Negative"
20;11;"Positive"
20;12;"Negative"
20;13;"Positive"
20;19;"Negative"
20;25;"Positive"
21;6;"Positive"
21;7;"Positive"
21;10;"Negative"
21;15;"Negative"
21;17;"Negative"
21;18;"Positive"
21;19;"Positive"
21;20;"Negative"
21;22;"Positive"
21;24;"Negative"
22;6;"Positive"
22;7;"Positive"
22;8;"Negative"
22;10;"Negative"
22;11;"Positive"
22;13;"Positive"
22;17;"Negative"
22;19;"Positive"
22;20;"Negative"
22;21;"Positive"
22;24;"Negative"
22;25;"Negative"
23;6;"Positive"
23;7;"Positive"
23;8;"Negative"
23;10;"Negative"
23;13;"Positive"
23;19;"Positive"
23;20;"Negative"
23;22;"Positive"
23;24;"Negative"
23;25;"Negative"
24;7;"Positive"
24;8;"Positive"
24;10;"Negative"
24;11;"Negative"
24;12;"Negative"
24;15;"Negative"
24;18;"Negative"
24;20;"Positive"
24;25;"Positive"
25;6;"Positive"
25;7;"Positive"
25;8;"Positive"
25;10;"Negative"
25;12;"Negative"
25;13;"Positive"
25;15;"Negative"
25;17;"Negative"
25;18;"Negative"
25;20;"Positive"
25;23;"Negative"
25;24;"Positive"
